Questions,Answers,Type,Ask,QueryUser?,
FL - 2:24,"For, you",26,,0,
"rr For, as it is written, ""The name of God is blasphemed among the Gentiles because of you.",2:24,26,,0,
rr the name of God,2:24,26,,0,
rr blasphemed,2:24,26,,0,
rr among the Gentiles,2:24,26,,0,
rr because of you,2:24,26,,0,
"esv: You who boast in the law dishonor God by breaking the law.  For, as it is written, ""The name of God is blasphemed among the Gentiles because of you.",blanks,26,,0,
,,,,,
FL - 2:25a,"For, law",27,0,0,
"rr For circumcision indeed is of value if you obey the law,",2:25a,27,0,0,
rr circumcision indeed,2:25a,27,0,0,
rr if you obey the law,2:25a,27,0,0,
"esv: For, as it is written, ""The name of God is blasphemed among the Gentiles because of you.  For circumcision indeed is of value if you obey the law,",blanks,27,0,0,
FL - 2:25b,"but, uncircumcision",27,0,0,
"rr but if you break the law, your circumcision becomes uncircumcision.",2:25b,27,0,0,
rr if you break the law,2:25b,27,0,0,
rr becomes uncircumcision,2:25b,27,0,0,
"esv:  For circumcision indeed is of value if you obey the law, but if you break the law, your circumcision becomes uncircumcision.",blanks,27,0,0,
FL - 2:26a,"So, law",27,0,0,
"rr So, if a man who is uncircumcised keeps the precepts of the law,",2:26a,27,0,0,
rr keeps the precepts,2:26a,27,0,0,
rr a man who is uncircumcised,2:26a,27,0,0,
"esv: but if you break the law, your circumcision becomes uncircumcision. So, if a man who is uncircumcised keeps the precepts of the law,",blanks,27,0,0,
FL - 2:26b,"will, circumcision",27,0,0,
rr will not his uncircumcision be regarded as circumcision?,2:26b,27,0,0,
rr his uncircumcision,2:26b,27,0,0,
rr regarded as circumcision,2:26b,27,0,0,
"esv: So, if a man who is uncircumcised keeps the precepts of the law, will not his uncircumcision be regarded as circumcision?",blanks,27,0,0,
FL - 2:27a,"Then, you",27,0,0,
rr Then he who is physically uncircumcised but keeps the law will condemn you,2:27a,27,0,0,
rr physically uncircumcised,2:27a,27,0,0,
rr keeps the law,2:27a,27,0,0,
rr will condemn you,2:27a,27,0,0,
esv: will not his uncircumcision be regarded as circumcision? Then he who is physically uncircumcised but keeps the law will condemn you,blanks,27,0,0,
FL - 2:27b,"who, law",27,0,0,
rr who have the written code and circumcision but break the law.,2:27b,27,0,0,
rr who have,2:27b,27,0,0,
rr the written code,2:27b,27,0,0,
rr but break the law,2:27b,27,0,0,
esv: Then he who is physically uncircumcised but keeps the law will condemn you who have the written code and circumcision but break the law.,blanks,27,0,0,
FL - 2:28a,"For, outwardly",27,0,0,
"rr For no one is a Jew who is merely one outwardly, ",2:28a,27,0,0,
rr no one is a Jew,2:28a,27,0,0,
rr merely one outwardly,2:28a,27,0,0,
"esv: who have the written code and circumcision but break the law. For no one is a Jew who is merely one outwardly, ",blanks,27,0,0,
FL - 2:28b,"nor, physical",27,0,0,
rr nor is circumcision outward and physical.,2:28b,27,0,0,
rr nor is circumcision,2:28b,27,0,0,
rr outward and physical,2:28b,27,0,0,
"esv: For no one is a Jew who is merely one outwardly, nor is circumcision outward and physical.",blanks,27,0,0,
FL - 2:29a,"But, letter",27,0,0,
"rr But a Jew is one inwardly, and circumcision is a matter of the heart, by the Spirit, not by the letter.",2:29a,27,0,0,
rr a Jew is one inwardly,2:29a,27,0,0,
rr a matter of the heart,2:29a,27,0,0,
rr by the Spirit,2:29a,27,0,0,
rr not by the letter,2:29a,27,0,0,
"esv: nor is circumcision outward and physical. But a Jew is one inwardly, and circumcision is a matter of the heart, by the Spirit, not by the letter.",blanks,27,0,0,
FL - 2:29b,"His, God",27,0,0,
rr His praise is not from man but from God.,2:29b,27,0,0,
rr His praise,2:29b,27,0,0,
rr not from man,2:29b,27,0,0,
rr but from God,2:29b,27,0,0,
"esv: But a Jew is one inwardly, and circumcision is a matter of the heart, by the Spirit, not by the letter. His praise is not from man but from God.",blanks,27,0,0,
,,,,,
FL - 3:1,"Then, circumcision",28,,0,
rr Then what advantage has the Jew? Or what is the value of circumcision?,3:1,28,,0,
rr Then what,3:1,28,,,
rr advantage,3:1,28,,,
rr has the Jew,3:1,28,,,
rr Or whati s the value,3:1,28,,,
rr value of circumcision,3:1,28,,,
esv: His praise is not from man but from God. Then what advantage has the Jew? Or what is the value of circumcision?,blanks,28,,0,
FL - 3:2,"Much, God",28,,0,
"rr Much in every way. To begin with, the Jews were entrusted with the oracles of God.",3:2,28,,0,
rr Much in every,3:2,28,,,
rr way. To begin,3:2,28,,,
"rr with, the Jews",3:2,28,,,
rr were entrusted with,3:2,28,,,
rr the oracles of God,3:2,28,,,
"esv: Then what advantage has the Jew? Or what is the value of circumcision? Much in every way. To begin with, the Jews were entrusted with the oracles of God.",blanks,28,,0,
FL - 3:3,"What, God",28,,0,
rr What if some were unfaithful? Does their faithlessness nullify the faithfulness of God?,3:3,28,,0,
rr What if some,3:3,28,,,
rr were unfaithful? Does,3:3,28,,,
rr their faithlessness nullify,3:3,28,,,
rr the faithfulness of,3:3,28,,,
rr faithfulness of God,3:3,28,,,
"esv: Much in every way. To begin with, the Jews were entrusted with the oracles of God. What if some were unfaithful? Does their faithlessness nullify the faithfulness of God?",blanks,28,,0,
FL - 3:4a,"By, written",28,,0,
"rr By no means! Let God be true though every one were a liar, as it is written,",3:4a,28,,0,
rr By no means!,"3:4a, 6",28,,,
rr Let God be true,3:4a,28,,,
rr though every one,3:4a,28,,,
rr were a liar,3:4a,28,,,
"esv: What if some were unfaithful? Does their faithlessness nullify the faithfulness of God? By no means! Let God be true though every one were a liar, as it is written,",blanks,28,,0,
FL - 3:4b,"That, judged",28,,0,
"rr That you may be justified in your words, and prevail when you are judged.",3:4b,28,,0,
rr that you may,3:4b,28,,0,
rr be justified in,3:4b,28,,0,
rr your words and,3:4b,28,,0,
rr prevail when you,3:4b,28,,0,
rr you are judged,3:4b,28,,0,
"esv: By no means! Let God be true though every one were a liar, as it is written, That you may be justified in your words, and prevail when you are judged.",blanks,28,,0,
FL - 3:5a,"But, say",28,,0,
"rr But if our unrighteousness serves to show the righteousness of God, what shall we say?",3:5a,28,,0,
"pick3: But if our unrighteousness serves to show ~the ~righteousness of God, what shall we say?",3:5a,28,28,,
"esv: That you may be justified in your words, and prevail when you are judged. But if our unrighteousness serves to show the righteousness of God, what shall we say?",blanks,28,,0,
FL - 3:5b,"That, way",28,,0,
pick3: That God is unrighteous to inflict wrath on us? (I speak in a human way.),3:5b,28,,0,
rr That God is,3:5b,28,,0,
rr unrighteous to inflict,3:5b,28,,0,
rr wrath on us,3:5b,28,,0,
rr I speak in a human way,3:5b,28,,0,
"esv: But if our unrighteousness serves to show the righteousness of God, what shall we say? That God is unrighteous to inflict wrath on us? (I speak in a human way.)",blanks,28,,0,
FL - 3:6,"By, world",28,,0,
rr By no means! For then how could God judge the world?,3:6,28,,0,
rr For then how,3:6,28,,0,
rr how could God,3:6,28,,0,
rr judge the world,3:6,28,,0,
esv: That God is unrighteous to inflict wrath on us? (I speak in a human way.) By no means! For then how could God judge the world?,blanks,28,,0,
FL - 3:7,"But, sinner",28,,0,
"rr But if through my lie God's truth abounds to his glory, why am I still being condemned as a sinner?",3:7,28,,0,
rr through my lie,3:7,28,,0,
rr God's truth,3:7,28,,0,
rr truth abounds,3:7,28,,0,
rr to His glory,3:7,28,,0,
rr why am I still ...,3:7,28,,0,
rr being condemned,3:7,28,,0,
"esv: By no means! For then how could God judge the world? But if through my lie God's truth abounds to his glory, why am I still being condemned as a sinner?",blanks,28,,0,
FL - 3:8a,"And, saying",28,,0,
rr And why not do evil that good may come? as some people slanderously charge us with saying.,3:8a,28,,0,
rr why not do evil,3:8a,28,,0,
rr that good may come,3:8a,28,,0,
rr some people,3:8a,28,,0,
rr slanderously charge,3:8a,28,,0,
rr charge us,3:8a,28,,0,
"esv: But if through my lie God's truth abounds to his glory, why am I still being condemned as a sinner? And why not do evil that good may come? as some people slanderously charge us with saying.",blanks,28,,0,
FL - 3:8b,"Their, just",28,,0,
rr Their condemnation is just.,3:8b,28,,0,
rr Their condemnation,3:8b,28,,0,
rr is just,3:8b,28,,0,
esv: And why not do evil that good may come? as some people slanderously charge us with saying. Their condemnation is just.,blanks,28,,0,
,,,,,
Chapter 2 Corroborating Verses,Title,28,29,0,
rr Why do you judge your brother? Or why do you despise your brother?,14:10a,28,29,0,
rr For we will all stand before the judgment seat of God,14:10b,28,29,0,
rr So then each of us will give an account of himself to God,14:12,28,29,0,
FL - James 2:24,"You, alone",28,29,0,
James_Ref: You see that a person is justified by works and not by faith alone,2:24,28,29,0,
esv: You see that a person is justified by works and not by faith alone,blanks,28,29,0,
FL - 3:28,"For, law",28,29,0,
rr For we hold that one is justified by faith apart from works of the law.,3:28,28,29,0,
esv: For we hold that one is justified by faith apart from works of the law.,blanks,28,29,0,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
"latin for ""sense of divinity""",sensus divinitatis,30,,,
natural theologies are __,theologies of glory,30,,,
gospel reveals the __,theology of the cross,30,,,
